T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
5,88,87,94,4,78,78,23,96,94
10,74,69,88,6,1,87,2,93,88
0,92,4,96,1,1,90,4,92,97
9,84,87,91,90,4,91,2,90,89
3,6,22,91,6,3,9,2,90,92
3,67,1,95,0,1,15,3,94,96
0,80,7,95,4,3,4,1,93,94
2,85,9,90,1,4,92,4,95,92
3,91,89,91,5,1,90,49,92,90
3,85,72,94,1,5,88,6,96,96
1,15,83,89,2,3,88,3,91,91
1,80,1,93,7,1,91,4,91,93
4,77,14,92,6,3,6,5,91,91
14,76,16,89,13,4,86,4,88,91
2,48,92,90,5,3,73,8,85,89
5,63,84,92,2,5,82,1,87,89
4,84,80,89,6,4,91,2,95,94
7,86,88,94,4,3,92,5,95,93
4,89,78,87,7,7,95,7,91,95
9,86,89,94,0,18,94,22,95,95
22,86,91,92,4,10,52,4,88,94
9,93,12,94,8,7,88,6,53,85
13,81,87,90,6,5,89,22,93,91
15,83,8,89,4,6,69,6,89,91
9,87,4,94,4,29,83,6,96,92
9,86,87,92,4,7,87,8,92,94
6,84,11,89,2,3,92,4,93,95
75,84,89,95,13,6,92,3,97,95
85,83,92,94,6,4,94,5,91,17
12,12,34,13,,25,34,56,14,75
22,76,73,91,15,63,32,29,92,38
90,86,86,81,87,15,14,21,95,89
81,16,80,84,22,62,35,38,92,63
14,89,78,80,15,15,68,24,80,72
18,92,15,82,13,14,63,21,88,76
7,86,82,85,13,58,29,30,78,75
12,85,80,80,19,17,67,22,79,69
74,58,67,,34,45,76,56,23,14
16,83,32,76,17,14,16,20,72,65
17,82,18,76,14,15,63,21,68,66
27,70,70,71,21,21,16,20,78,71
16,87,82,86,12,11,21,20,81,75
79,18,66,71,17,19,28,24,76,66
77,20,25,77,4,68,23,20,78,71
23,79,22,80,21,80,14,13,85,75
21,74,32,76,25,23,26,22,74,71
80,20,72,79,18,81,43,20,83,77
16,82,76,81,20,70,22,20,77,71
7,83,15,25,72,22,18,16,20,70
80,78,81,78,18,70,24,17,79,79
17,85,21,78,17,22,22,18,80,74
18,83,15,83,14,15,17,17,81,76
70,17,24,80,21,68,27,23,79,75
22,83,14,82,12,19,17,17,78,77
77,20,16,81,18,19,15,17,78,72
82,20,13,85,12,21,15,17,85,77
15,84,80,81,20,75,27,17,78,74
11,11,14,79,12,15,14,18,81,74
86,13,80,79,19,18,17,18,80,77
16,81,80,82,16,14,20,18,83,78
78,80,19,79,20,78,20,16,80,75
80,18,76,80,16,75,23,16,83,77
80,14,16,66,19,24,24,17,86,89
11,9,61,65,15,12,11,12,86,87
9,79,80,85,17,18,13,27,74,85
62,66,17,49,30,22,66,31,52,71
84,66,8,27,24,22,71,62,51,70
77,79,18,79,27,25,26,32,72,80
66,25,45,60,22,30,28,27,49,74
64,49,26,68,27,28,30,26,74,77
35,60,26,48,29,35,37,28,51,68
27,64,31,73,26,29,33,34,69,74
28,36,67,58,29,24,26,26,64,70
30,90,25,61,32,30,68,35,63,73
65,36,30,40,31,34,27,31,61,68
61,59,31,63,32,35,27,31,66,69
60,65,33,66,31,35,33,35,66,68
69,76,22,68,23,27,32,36,69,73
28,78,25,74,30,29,28,23,66,73
79,75,22,18,25,25,75,59,36,74
7,9,10,46,26,21,20,13,64,67
26,34,48,46,30,30,26,22,51,64
32,70,66,68,25,32,23,29,65,74
85,37,23,69,39,42,34,46,50,69
5,4,6,42,16,18,16,12,62,70
60,68,63,65,29,29,26,25,65,65
62,33,34,62,30,30,31,29,67,72
27,79,23,74,24,31,25,17,62,70
45,85,26,70,24,29,67,29,71,76
62,61,62,38,29,22,30,47,51,63
70,68,65,76,28,27,33,23,74,73
95,91,50,52,48,50,50,47,100,50
36,100,96,51,7,0,6,21,77,68
0,67,68,100,0,98,1,58,89,84
3,91,96,20,84,55,0,49,47,13
0,99,100,96,2,92,0,0,90,88
12,0,93,95,1,100,0,30,88,88
7,98,75,12,15,27,2,36,26,23
4,9,97,99,4,97,2,0,87,84
0,82,89,16,76,12,5,5,21,19
11,77,89,12,83,8,0,16,4,3
93,95,4,86,4,85,3,81,79,77
75,2,9,97,7,96,7,6,90,91
4,13,18,72,11,87,73,7,87,74
62,11,9,84,20,85,12,7,71,67
12,27,84,90,8,94,8,35,79,81
27,87,28,78,16,88,35,23,85,81
99,6,10,87,96,3,1,73,20,18
5,5,3,85,6,95,5,86,90,87
96,98,6,5,88,2,4,81,14,7
65,7,77,8,88,6,4,3,6,10
79,4,2,94,0,99,0,0,99,100
21,85,21,74,7,84,9,95,84,80
30,6,3,100,2,90,5,2,93,97
6,0,89,71,5,94,4,11,85,78
96,100,7,20,18,14,13,25,48,31
6,4,10,6,4,4,0,82,28,16
4,3,0,95,3,83,66,1,93,92
9,95,6,8,90,79,6,77,23,65
9,86,27,73,5,83,7,15,60,62
25,93,11,10,91,5,74,0,1,5
13,84,22,24,80,2,20,11,28,28
18,96,17,13,100,0,3,92,2,13
66,90,17,61,25,19,17,19,30,26
23,72,84,85,18,82,4,11,100,81
22,84,13,77,7,83,12,19,70,78
28,84,12,94,12,91,10,9,85,84
10,78,59,74,33,73,14,23,70,84
100,10,80,40,36,32,81,21,69,79
1,33,13,59,23,13,33,30,40,89
20,0,0,21,0,0,0,0,11,63
2,100,16,100,2,71,67,17,90,97
0,100,100,100,19,100,5,0,100,100
0,100,0,100,0,37,100,0,100,100
100,0,100,0,0,100,3,4,33,100
5,100,100,100,0,100,100,0,100,100
9,0,0,12,0,0,0,0,100,100
100,0,1,100,0,8,20,20,76,78
98,81,96,6,77,78,0,83,39,100
0,0,0,0,0,0,0,0,33,100
14,65,99,33,4,0,94,0,71,96
31,72,0,100,25,18,100,0,95,100
0,100,4,21,79,9,17,70,100,100
100,0,0,0,100,1,6,100,21,100
100,1,18,14,28,0,4,8,100,100
0,100,16,100,5,2,100,11,91,98
100,25,95,40,20,25,20,4,27,78
0,100,0,100,6,4,100,39,41,35
8,1,1,0,1,0,0,0,33,100
0,100,100,100,7,2,100,35,32,29
9,100,100,34,8,0,1,75,100,100
0,100,100,100,2,20,100,0,100,100
100,2,100,100,4,0,100,33,100,100
42,0,0,100,0,0,0,3,100,100
0,100,100,0,65,3,100,13,26,100
1,100,38,28,30,32,31,80,0,0
0,83,100,100,0,6,100,56,7,30
0,0,0,0,0,82,11,24,82,93
0,69,89,24,12,14,83,18,69,67
0,67,100,76,0,76,0,0,85,82
66,100,88,22,22,75,100,0,100,100
14,80,17,29,58,7,18,13,26,67
0,0,0,36,0,73,0,0,21,30
68,45,0,64,0,73,0,0,44,100
0,69,74,82,0,100,17,57,85,64
0,79,12,27,28,79,0,21,31,28
0,100,68,60,26,60,25,72,94,27
4,84,77,79,0,80,1,0,94,62
0,70,14,61,0,80,28,17,27,67
0,0,0,0,0,0,0,0,63,71
0,52,22,59,71,65,69,63,63,32
0,65,0,80,0,80,82,19,56,76
27,78,26,25,0,24,80,76,39,87
81,77,72,19,21,77,81,0,79,81
0,51,0,72,0,95,17,15,53,67
81,70,75,57,35,2,100,18,54,100
0,0,0,82,0,100,32,0,100,100
0,55,30,84,0,81,0,0,67,100
